dataset,config,fold,run_seed,n_sel_subjects,n_fin_subjects,n_sel_segments,n_fin_segments,lie_sel,lie_fin,split_hash,split_seed
MDPE,OADNet_text,1,2026,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_text,2,7,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_text,2,42,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_text,2,123,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_text,2,2024,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_text,2,2026,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_text,3,7,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_text,3,42,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_text,3,123,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_text,3,2024,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_text,3,2026,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_text,4,7,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_text,4,42,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_text,4,123,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_text,4,2024,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_text,4,2026,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_audio,0,7,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_audio,0,42,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_audio,0,123,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_audio,0,2024,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_audio,0,2026,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_audio,1,7,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_audio,1,42,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_audio,1,123,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_audio,1,2024,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_audio,1,2026,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_audio,2,7,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_audio,2,42,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_audio,2,123,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_audio,2,2024,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_audio,2,2026,19,19,456,456,171,171,5fc53cd3860bfb83,20260904
MDPE,OADNet_audio,3,7,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_audio,3,42,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_audio,3,123,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_audio,3,2024,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_audio,3,2026,19,20,456,480,171,180,168ad569412f22aa,20260904
MDPE,OADNet_audio,4,7,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_audio,4,42,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_audio,4,123,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_audio,4,2024,19,20,456,480,171,180,e89b5c10dac77578,20260904
MDPE,OADNet_audio,4,2026,19,20,456,480,171,180,e89b5c10dac77578,20260904
